Song_Name,Song_Lyrics,Album_Name,Album_Year,Negative,Neutral,Positive,Compound
★ (Blackstar),villa ormen villa ormen stands solitary candle centre centre eyes day execution day execution women kneel smile centre centre eyes eyes villa ormen villa ormen stands solitary candle centre centre eyes eyes something happened day died spirit rose metre stepped aside somebody else took place bravely cried blackstar blackstar many times angel fall many people lie instead talking tall trod sacred ground cried loud crowd blackstar blackstar gangstar answer blackstar go filmstar take home blackstar take passport shoes popstar sedatives boo blackstar flash pan marvel star great blackstar blackstar way money got game see right wide open hearted pain want eagles daydreams diamonds eyes blackstar blackstar something happened day died spirit rose metre stepped aside somebody else took place bravely cried blackstar star star blackstar answer gangstar tell flam star born upside star star born wrong way round white star blackstar gangstar blackstar blackstar pornstar wandering star blackstar blackstar villa ormen stands solitary candle centre eyes day execution women kneel smile centre eyes eyes,★ (Blackstar),2016,0.111,0.768,0.12,-0.0516
'Tis a Pity She Was a Whore,man punched like dude hold mad hands cried tis pity whore tis curse suppose patrol patrol war black struck kiss kept cock smote mistress drifting tis pity whore stole purse rattling speed patrol war tis pity whore man punched like dude hold mad hands cried tis pity whore tis fate suppose patrol patrol tis pity whore tis pity whore woo ahh woo woo,★ (Blackstar),2016,0.552,0.304,0.144,-0.9933
Lazarus,look heaven got scars seen got drama stolen everybody knows look man danger got nothing left lose high makes brain whirl dropped cell phone like time got new york living like king used money looking ass way way know free like bluebird like free like bluebird free like,★ (Blackstar),2016,0.135,0.456,0.409,0.9542
Sue (Or in a Season of Crime),sue got job buy house need rest make sue clinic called x ray fine brought home said home sue said want writ sue virgin stone grave dark speak words know son folly sue ride train far home season crime none need atone kissed face sue pushed beneath weeds endless faith hopeless deeds kissed face touched face sue goodbye sue found note wrote last night right went sue never dreamed fool right start went clown,★ (Blackstar),2016,0.157,0.746,0.097,-0.7321
Girl Loves Me,cheena sound titi malchick say party moodge nanti vellocet round tuesday real bad dizzy snatch making omies mad thursday popo blind polly hole friday fuck monday go cold pig pug show sitting chestnut tree fuck gonna mess girl loves cheena girl loves girl loves cheena girl loves fuck monday go go go go go go go go cold pig pug show go go go go go go go go fuck monday go go go go go go go go go go viddy cheena choodesny red rot libbilubbing litso fitso devotchka watch garbles spatchko rozz shop split ded deng deng viddy viddy cheena girl loves cheena girl loves girl loves cheena girl loves girl loves cheena girl loves fuck monday go fuck monday go fuck monday go girl loves cheena girl loves girl loves cheena girl loves fuck monday go fuck monday go,★ (Blackstar),2016,0.213,0.531,0.256,0.9042
Dollar Days,cash girls suffer got enemies walking nothing nothing see never see english evergreens running nothing nothing see dying push backs grain fool trying bitches tear magazines oligarchs foaming mouths come believe one second forgetting trying dying dollar days survival sex honour stretching tails necks falling nothing nothing see never see english evergreens running nothing nothing see dying push backs grain fool trying gone wrong bitter nerve ends never end falling believe one second forgetting trying dying trying dying trying dying trying dying trying dying,★ (Blackstar),2016,0.269,0.695,0.036,-0.9648
I Can't Give Everything Away,know something wrong pulse returns prodigal sons blackout hearts flowered news skull designs upon shoes give everything give everything away give everything away seeing feeling less saying meaning yes ever meant message sent give everything give everything away give everything away give everything give everything away give everything away know something wrong pulse returns prodigal sons blackout hearts flowered news skull designs upon shoes give everything give everything away give everything away give everything give everything away give everything away,★ (Blackstar),2016,0.072,0.882,0.046,-0.5046
The Next Day,look eyes tells gonna say goodbye says cry begs goodbye day thinks love whip streets alleys gormless baying crowd right get enough doomsday song get enough listen listen whores tells fashions paper sculptures drags river bank cart soggy paper bodies wash ashore dark priest stiff hate demanding fun begin women dressed men pleasure priest quite dying body left rot hollow tree branches throwing shadows gallows next day next another day ignoring pain particular diseases chase alleys chase steps haul mud chant death drag feet purple headed priest first give everything want take back everything live upon feet die upon knees work satan dress like saints know god exists devil told scream name aloud well quite dying body left rot hollow tree branches throwing shadows gallows next day next another day quite dying body left rot hollow tree branches throwing shadows gallows next day next another day quite dying body left rot hollow tree branches throwing shadows gallows next day next another day listen,The Next Day,2013,0.202,0.704,0.094,-0.9712
Dirty Boys,something like tobacco road living lonely road pull go finchley fair buy feather hat steal cricket bat smash windows make noise run dirty boys sun goes sun goes die cast die cast choice run dirty boys gone mad want vinny boys go got learn hold tongue moon burnin sun sun goes sun goes die cast die cast choice run dirty boys,The Next Day,2013,0.38,0.55,0.07,-0.9819
The Stars (Are Out Tonight),stars never sleeping dead ones living live closer earth never heavens stars never far away stars tonight watch us behind shades brigitte jack kate brad behind tinted window stretch gleaming like blackened sunshine stars never sleeping dead ones living waiting first move satyrs child wives waiting last move soaking primitive world stars never sleeping dead ones living jealousy spilling stars must stick together never rid stars hope live forever know toss turn night waiting make moves stars tonight upon stairs sexless unaroused stars dying hope live forever burn radiant smiles trap beautiful eyes broke shamed drunk scared hope live forever jealousy spilling stars must stick together never rid stars hope live forever know toss turn night waiting make moves us stars tonight stars tonight stars tonight,The Next Day,2013,0.187,0.652,0.161,-0.0915
